timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-09-20T08:20:18.2520881Z,2.066666666666667,13,9,8,3
2025-09-20T08:20:20.2432956Z,2.066666666666667,12,8,9,4
2025-09-20T08:20:22.2453272Z,2.0833333333333335,12,8,8,3
2025-09-20T08:20:24.2387220Z,2.066666666666667,13,8,8,4
2025-09-20T08:20:26.2436379Z,2.0833333333333335,12,9,9,3
2025-09-20T08:20:28.2359534Z,2.066666666666667,13,8,8,3
2025-09-20T08:20:30.2478772Z,2.1,12,8,8,4
2025-09-20T08:20:32.2475348Z,2.1,13,9,9,3
2025-09-20T08:20:34.2561894Z,2.0833333333333335,12,8,8,4
2025-09-20T08:20:36.2464661Z,2.066666666666667,13,8,8,3
2025-09-20T08:20:38.2573513Z,2.0833333333333335,12,9,9,3
2025-09-20T08:20:40.2445251Z,2.066666666666667,13,8,8,4
2025-09-20T08:20:42.2365349Z,2.066666666666667,12,8,8,3
2025-09-20T08:20:44.2473876Z,2.0833333333333335,13,9,9,3
2025-09-20T08:20:46.2551476Z,2.0833333333333335,12,8,8,4
2025-09-20T08:20:48.2466183Z,2.066666666666667,13,8,8,3
2025-09-20T08:20:50.2547951Z,2.0833333333333335,12,9,8,3
2025-09-20T08:20:52.2432169Z,2.0833333333333335,13,8,9,4
2025-09-20T08:20:54.2490939Z,2.1,12,8,8,3
2025-09-20T08:20:56.2568063Z,2.0833333333333335,13,9,9,4
2025-09-20T08:20:58.2478862Z,2.0833333333333335,12,8,8,3
2025-09-20T08:21:00.2585220Z,2.0833333333333335,13,8,8,3
2025-09-20T08:21:02.2372450Z,2.05,12,8,8,4
2025-09-20T08:21:04.2463536Z,2.0833333333333335,12,9,9,3
2025-09-20T08:21:06.2523870Z,2.0833333333333335,13,8,8,3
2025-09-20T08:21:08.2410188Z,2.066666666666667,12,8,8,4
2025-09-20T08:21:10.2510468Z,2.0833333333333335,13,9,9,3
2025-09-20T08:21:12.2583596Z,2.0833333333333335,12,8,8,4
2025-09-20T08:21:14.2364738Z,2.05,13,8,8,3
2025-09-20T08:21:16.2469795Z,2.1,12,9,9,3
2025-09-20T08:21:18.2557710Z,2.1,13,8,8,4
2025-09-20T08:21:20.2489449Z,2.066666666666667,12,8,8,3
2025-09-20T08:21:22.2601810Z,2.1,13,9,9,3
2025-09-20T08:21:24.2497984Z,2.066666666666667,12,8,8,4
2025-09-20T08:21:26.2599094Z,2.0833333333333335,13,8,8,3
2025-09-20T08:21:28.2387287Z,1.95,11,8,8,3
2025-09-20T08:21:30.2475334Z,2.0166666666666666,13,8,8,4
2025-09-20T08:21:32.2557134Z,2.0166666666666666,12,8,8,3
2025-09-20T08:21:34.2485294Z,2.0166666666666666,12,8,8,3
2025-09-20T08:21:36.2581445Z,2.0166666666666666,12,8,8,3
2025-09-20T08:21:38.2370860Z,2.0166666666666666,12,8,8,4
2025-09-20T08:21:40.2516451Z,2.0166666666666666,12,9,9,3
2025-09-20T08:21:42.2427952Z,2.0166666666666666,12,8,8,3
2025-09-20T08:21:44.2387545Z,1.9833333333333334,12,8,8,3
2025-09-20T08:21:46.2477704Z,2,12,8,7,4
2025-09-20T08:21:48.2549340Z,2.033333333333333,12,8,9,3
2025-09-20T08:21:50.2483044Z,1.9666666666666666,12,8,8,3
2025-09-20T08:21:52.2552316Z,2.0166666666666666,12,8,8,3
2025-09-20T08:21:54.2499657Z,1.9833333333333334,12,8,8,4
2025-09-20T08:21:56.2591000Z,2.0166666666666666,12,8,8,3
2025-09-20T08:21:58.2509927Z,2.033333333333333,12,8,8,3
2025-09-20T08:22:00.2576189Z,2.05,13,8,8,4
2025-09-20T08:22:02.2372421Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:04.2453612Z,2.033333333333333,12,8,8,3
2025-09-20T08:22:06.2399220Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:08.2493019Z,2.0166666666666666,12,8,8,4
2025-09-20T08:22:10.2612677Z,2.033333333333333,12,8,8,3
2025-09-20T08:22:12.2375682Z,2.0166666666666666,12,8,8,3
2025-09-20T08:22:14.2485512Z,2.0166666666666666,12,8,8,3
2025-09-20T08:22:16.2588929Z,2,12,8,8,4
2025-09-20T08:22:18.2499154Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:20.2595602Z,2.066666666666667,12,8,8,3
2025-09-20T08:22:22.2433014Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:24.2502910Z,2.066666666666667,13,9,9,4
2025-09-20T08:22:26.2532112Z,2,12,8,8,3
2025-09-20T08:22:28.2474034Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:30.2551638Z,2.05,12,8,8,4
2025-09-20T08:22:32.2477659Z,2.0166666666666666,12,8,8,3
2025-09-20T08:22:34.2561536Z,2.033333333333333,12,8,8,3
2025-09-20T08:22:36.2473212Z,2.0166666666666666,12,8,8,3
2025-09-20T08:22:38.2545778Z,2.033333333333333,13,8,8,4
2025-09-20T08:22:40.2429760Z,2.0166666666666666,12,8,8,3
2025-09-20T08:22:42.2497661Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:44.2566462Z,1.9833333333333334,11,8,8,3
2025-09-20T08:22:46.2365185Z,1.9833333333333334,12,8,8,4
2025-09-20T08:22:48.2458292Z,2,12,8,8,3
2025-09-20T08:22:50.2410267Z,1.9666666666666666,12,8,8,3
2025-09-20T08:22:52.2502986Z,1.9833333333333334,12,8,8,3
2025-09-20T08:22:54.2618782Z,2.0166666666666666,12,8,8,4
2025-09-20T08:22:56.2581228Z,2.0166666666666666,12,8,8,3
2025-09-20T08:22:58.2516144Z,1.9833333333333334,12,8,8,3
2025-09-20T08:23:00.2459448Z,2,12,8,8,3
2025-09-20T08:23:02.2381036Z,1.9666666666666666,12,8,8,3
2025-09-20T08:23:04.2454474Z,2,12,8,8,4
2025-09-20T08:23:06.2387525Z,2.05,12,8,8,3
2025-09-20T08:23:08.2463208Z,2,12,8,8,3
2025-09-20T08:23:10.2366209Z,1.9833333333333334,12,8,8,3
2025-09-20T08:23:12.2501879Z,2.05,12,8,8,4
2025-09-20T08:23:14.2607645Z,2,12,8,8,3
2025-09-20T08:23:16.2402381Z,2,12,8,8,3
2025-09-20T08:23:18.2442705Z,1.9833333333333334,12,8,8,3
2025-09-20T08:23:20.2367394Z,2,12,8,8,4
2025-09-20T08:23:22.2396061Z,2.033333333333333,13,8,8,3
2025-09-20T08:23:24.2444502Z,2.066666666666667,12,8,8,3
2025-09-20T08:23:26.2360566Z,2,12,8,8,4
2025-09-20T08:23:28.2421985Z,2.0166666666666666,12,9,8,3
